ParentKey	LineNum	ItemCode	ItemDescription	Quantity	Price	WarehouseCode	AccountCode	LineTotal
DocNum	LineNum	ItemCode	Dscription	Quantity	Price	WhsCode	AcctCode	LineTotal
2	165	SUNSET NYELECTRIC BK	GUITARRA ELECTRICA SUNSET NYLON NEGRO - NETO	1	223.28	201	_SYS00000005053	223.28
2	166	JT-JG-BLK-A-U	GUITARRA ELECTRICA VS SERIE COLOR BLK	2	122.97	201	_SYS00000005053	245.94
2	167	JT-JG-CRS-A-U	GUITARRA ELECTRICA VS SERIE COLOR CRS	1	122.97	201	_SYS00000005053	122.97
2	168	JT-JG-TSB-A-U	GUITARRA ELECTRICA VS SERIE COLOR TSB	2	123.04	201	_SYS00000005053	246.08
2	169	X300 BLB	GUITARRA ELECTRICA X C/MIC. EMG RETRO-HOT COLOR BLB - NETO	1	217.74	201	_SYS00000005053	217.74
2	170	X300 BRB	GUITARRA ELECTRICA X C/MIC. EMG RETRO-HOT COLOR BRB - NETO	1	218.34	201	_SYS00000005053	218.34
2	171	X300 GRB	GUITARRA ELECTRICA X C/MIC. EMG RETRO-HOT COLOR GRB - NETO	1	217.74	201	_SYS00000005053	217.74
2	172	X-250 BK	GUITARRA ELECTRICA X C/MIC. EMG SRO-ALNICO COLOR BK - NETO	1	158.79	201	_SYS00000005053	158.79
2	173	AG70CE-A-U	GUITARRA ELECTROACUSTICA APPRENTICE COLOR NATURAL	1	130.86	201	_SYS00000005053	130.86
2	174	WCG10SENS-O-U	GUITARRA ELECTROACUSTICA COMFORT10 COLOR NATURAL	1	347.71	201	_SYS00000005053	347.71
2	175	WCG20SCE-O-U	GUITARRA ELECTROACUSTICA COMFORT20 COLOR NATURAL	1	377.95	201	_SYS00000005053	377.95
2	176	EARTH100F NS	GUITARRA ELECTROACUSTICA EARTH NATURAL SATINADO EQ - NETO	2	190.68	201	_SYS00000005053	381.36
2	177	GA-FF NAT	GUITARRA ELECTROACUSTICA GRAND REGAL NATURAL	1	136.42	201	_SYS00000005053	136.42
2	178	GA5F-BW NS	GUITARRA ELECTROACUSTICA GRAND REGAL NATURAL SAT.	1	219.53	201	_SYS00000005053	219.53
2	179	GA-MEDX OP	GUITARRA ELECTROACUSTICA GRAND REGAL OPEN PORE	1	90.97	201	_SYS00000005053	90.97
2	180	HG26SCE-O-U	GUITARRA ELECTROACUSTICA HERITAGE20 COLOR NATURAL	1	317.46	201	_SYS00000005053	317.46
2	181	HJ40SCE-O-U	GUITARRA ELECTROACUSTICA HERITAGE40 COLOR NATURAL	1	302.33	201	_SYS00000005053	302.33
2	182	MR500E BR	GUITARRA ELECTROACUSTICA MR MARRON BURST	2	147.02	201	_SYS00000005053	294.04
2	183	MR600F NS	GUITARRA ELECTROACUSTICA MR NATURAL SATINADO	1	155.46	201	_SYS00000005053	155.46
2	184	NDX20 NAT	GUITARRA ELECTROACUSTICA NDX NATURAL - NETO	1	227.92	201	_SYS00000005053	227.92
2	185	SFX-AB NAT	GUITARRA ELECTROACUSTICA SFX NATURAL	1	112.09	201	_SYS00000005053	112.09
2	186	SFX-DAO NAT	GUITARRA ELECTROACUSTICA SFX NATURAL	2	105.76	201	_SYS00000005053	211.52
2	187	SFX-ME NAT	GUITARRA ELECTROACUSTICA SFX NATURAL - NETO	5	101.88	201	_SYS00000005053	509.40
2	188	SFX-ME BKS	GUITARRA ELECTROACUSTICA SFX NEGRO SATINADO	1	96.32	201	_SYS00000005053	96.32
2	189	SFX-ME OP	GUITARRA ELECTROACUSTICA SFX OPEN PORE	2	90.08	201	_SYS00000005053	180.16
2	190	AD880CE NAT	GUITARRA ELECTROACUSTICA STANDARD NATURAL	2	106.58	201	_SYS00000005053	213.16
2	191	AD810E BKS	GUITARRA ELECTROACUSTICA STANDARD NEGRO SATINADO	7	89.66	201	_SYS00000005053	627.62
2	192	AF510E BKS	GUITARRA ELECTROACUSTICA STANDARD NEGRO SATINADO	4	88.00	201	_SYS00000005053	352.00
2	193	AD810E OP	GUITARRA ELECTROACUSTICA STANDARD OPEN PORE	10	84.15	201	_SYS00000005053	841.50
2	194	AF510E OP	GUITARRA ELECTROACUSTICA STANDARD OPEN PORE	2	85.38	201	_SYS00000005053	170.76
