ParentKey	LineNum	SourcePath	FileName	FileExtension	Override	FreeText
AbsoluteEntry	LineNum	srcPath	FileName	FileExt	Override	FreeText
877	3	\\192.168.10.27\Documentos_SAP\Anexos	TJ-1143(5) - (03-19)	jpg	Y	TJ-1143
880	0	\\192.168.10.27\Documentos_SAP\Anexos	TJ-1195	jpg	Y	TJ-1195
880	1	\\192.168.10.27\Documentos_SAP\Anexos	TJ-1195(2)	jpg	Y	TJ-1195
881	0	\\192.168.10.27\Documentos_SAP\Anexos	TJ-1142	jpg	Y	TJ-1142
881	1	\\192.168.10.27\Documentos_SAP\Anexos	TJ-1142(2)	jpg	Y	TJ-1142
892	0	\\192.168.10.27\Documentos_SAP\Anexos	TJ-1235 (provisional) - (06-18)	jpg	Y	TJ-1235
892	1	\\192.168.10.27\Documentos_SAP\Anexos	TJ-1235(2)	jpg	Y	TJ-1235
893	0	\\192.168.10.27\Documentos_SAP\Anexos	TJ-1240(1) - 2016	jpg	Y	TJ-1240
893	1	\\192.168.10.27\Documentos_SAP\Anexos	TJ-1240(2)	jpg	Y	TJ-1240
897	0	\\192.168.10.27\Documentos_SAP\Anexos	TJ-1291	jpg	Y	TJ-1291
897	1	\\192.168.10.27\Documentos_SAP\Anexos	TJ-1291(2)	jpg	Y	TJ-1291
902	0	\\192.168.10.27\Documentos_SAP\Anexos	LLA-1000_960x768	jpg	Y	LLA-1000
902	1	\\192.168.10.27\Documentos_SAP\Anexos	LLA-1000(2)_960x768	jpg	Y	LLA-1000
903	0	\\192.168.10.27\Documentos_SAP\Anexos	AD-1000_960x768	jpg	Y	AD-1000
903	1	\\192.168.10.27\Documentos_SAP\Anexos	AD-1000(2)_960x768	jpg	Y	AD-1000
904	0	\\192.168.10.27\Documentos_SAP\Anexos	AD-1500_960x768	jpg	Y	AD-1500 EVL
904	1	\\192.168.10.27\Documentos_SAP\Anexos	AD-1500(2)_960x768	jpg	Y	AD-1500 EVL
905	0	\\192.168.10.27\Documentos_SAP\Anexos	AD-2000	jpg	Y	AD-2000
905	1	\\192.168.10.27\Documentos_SAP\Anexos	AD-2000(2)	jpg	Y	AD-2000
906	0	\\192.168.10.27\Documentos_SAP\Anexos	LLA-300J_960x768	jpg	Y	LLA-300J
906	1	\\192.168.10.27\Documentos_SAP\Anexos	LLA-300J(2)_960x768	jpg	Y	LLA-300J
907	0	\\192.168.10.27\Documentos_SAP\Anexos	LLA-500J_960x768	jpg	Y	LLA-500J
907	1	\\192.168.10.27\Documentos_SAP\Anexos	LLA-500J(2)_960x768	jpg	Y	LLA-500J
908	0	\\192.168.10.27\Documentos_SAP\Anexos	LLAS-3000A	jpg	Y	LLAS-3000A OF
910	0	\\192.168.10.27\Documentos_SAP\Anexos	FY-2096A - (02-19)	jpg	Y	FY-2096A
910	1	\\192.168.10.27\Documentos_SAP\Anexos	FY-2096A(2) - (02-19)	jpg	Y	FY-2096A
910	2	\\192.168.10.27\Documentos_SAP\Anexos	FY-2096A(1-3) - (02-19)	jpg	Y	FY-2096A
910	3	\\192.168.10.27\Documentos_SAP\Anexos	FY-2096A(1-4) - (02-19)	jpg	Y	FY-2096A
911	0	\\192.168.10.27\Documentos_SAP\Anexos	TJ-1187 - (03-19)	jpg	Y	TJ-1187
911	1	\\192.168.10.27\Documentos_SAP\Anexos	TJ-1187(2) - (03-19)	jpg	Y	TJ-1187
911	2	\\192.168.10.27\Documentos_SAP\Anexos	TJ-1187(1-3) - (03-19)	jpg	Y	TJ-1187
911	3	\\192.168.10.27\Documentos_SAP\Anexos	TJ-1187(1-4) - (03-19)	jpg	Y	TJ-1187
912	0	\\192.168.10.27\Documentos_SAP\Anexos	TJ-051	jpg	Y	TJ-051 OF
913	0	\\192.168.10.27\Documentos_SAP\Anexos	TJ-1245	jpg	Y	TJ-1245
913	1	\\192.168.10.27\Documentos_SAP\Anexos	TJ-1245(2)	jpg	Y	TJ-1245
914	0	\\192.168.10.27\Documentos_SAP\Anexos	FY-2096U	jpg	Y	FY-2096U
914	1	\\192.168.10.27\Documentos_SAP\Anexos	FY-2096U(2)	jpg	Y	FY-2096U
915	0	\\192.168.10.27\Documentos_SAP\Anexos	LLA0600PC	jpg	Y	LLA0600PC
915	1	\\192.168.10.27\Documentos_SAP\Anexos	LLA0600PC(2)	jpg	Y	LLA0600PC
916	0	\\192.168.10.27\Documentos_SAP\Anexos	BT-DATA	jpg	Y	BT-DATA
916	1	\\192.168.10.27\Documentos_SAP\Anexos	BT-DATA(2)	jpg	Y	BT-DATA
918	0	\\192.168.10.27\Documentos_SAP\Anexos	EV-T01 - (05-19)	jpg	Y	EV-T01 
918	1	\\192.168.10.27\Documentos_SAP\Anexos	EV-T01(2) - (05-19)	jpg	Y	EV-T01 
918	2	\\192.168.10.27\Documentos_SAP\Anexos	EV-T01(1-3) - (05-19)	jpg	Y	EV-T01 
918	3	\\192.168.10.27\Documentos_SAP\Anexos	EV-T01(9) - (05-19)	jpg	Y	EV-T01 
919	0	\\192.168.10.27\Documentos_SAP\Anexos	FY3108ST(2-1) - (05-19)	jpg	Y	FY3108ST
919	1	\\192.168.10.27\Documentos_SAP\Anexos	FY3108ST - (05-19)	jpg	Y	FY3108ST
919	2	\\192.168.10.27\Documentos_SAP\Anexos	FY3108ST(2-2) - (05-19)	jpg	Y	FY3108ST
921	0	\\192.168.10.27\Documentos_SAP\Anexos	FY-5913_960x768	jpg	Y	FY-5913
921	1	\\192.168.10.27\Documentos_SAP\Anexos	FY-5913(4)_960x768	jpg	Y	FY-5913
921	2	\\192.168.10.27\Documentos_SAP\Anexos	FY-5913(3)_960x768	jpg	Y	FY-5913
921	3	\\192.168.10.27\Documentos_SAP\Anexos	FY-5913(2) - (03-19)	jpg	Y	FY-5913
922	0	\\192.168.10.27\Documentos_SAP\Anexos	APNR-3002 - (08-20)	jpg	Y	APNR-3002
922	1	\\192.168.10.27\Documentos_SAP\Anexos	APNR-3002(1-2) - (08-20)	jpg	Y	APNR-3002
922	2	\\192.168.10.27\Documentos_SAP\Anexos	APNR-3002(3) - (08-20)	jpg	Y	APNR-3002
922	3	\\192.168.10.27\Documentos_SAP\Anexos	APNR-3002(4) - (08-20)	jpg	Y	APNR-3002
923	0	\\192.168.10.27\Documentos_SAP\Anexos	HV-UC301WH	jpg	Y	HV-UC301WH
923	1	\\192.168.10.27\Documentos_SAP\Anexos	HV-UC301WH(2)	jpg	Y	HV-UC301WH
924	0	\\192.168.10.27\Documentos_SAP\Anexos	HV-UC301BK(1)	jpg	Y	HV-UC301BK
924	1	\\192.168.10.27\Documentos_SAP\Anexos	HV-UC301BK(2)	jpg	Y	HV-UC301BK
925	0	\\192.168.10.27\Documentos_SAP\Anexos	HV-UC515WH - (10-18)v2	jpg	Y	HV-UC515WH
925	1	\\192.168.10.27\Documentos_SAP\Anexos	HV-UC515WH(2) - (10-18)v2	jpg	Y	HV-UC515WH
925	2	\\192.168.10.27\Documentos_SAP\Anexos	HV-UC515WH(1-3) - (10-18)v2	jpg	Y	HV-UC515WH
926	0	\\192.168.10.27\Documentos_SAP\Anexos	HV-UC515 - (06-19)	jpg	Y	HV-UC515BK
926	1	\\192.168.10.27\Documentos_SAP\Anexos	HV-UC515(1-2) - (06-19)	jpg	Y	HV-UC515BK
926	2	\\192.168.10.27\Documentos_SAP\Anexos	HV-UC515(1-3) - (06-19)	jpg	Y	HV-UC515BK
926	3	\\192.168.10.27\Documentos_SAP\Anexos	HV-UC515(3) - (06-19)	jpg	Y	HV-UC515BK
927	0	\\192.168.10.27\Documentos_SAP\Anexos	HV-UC270BL	jpg	Y	HV-UC270BL
927	1	\\192.168.10.27\Documentos_SAP\Anexos	HV-UC270BL(2)	jpg	Y	HV-UC270BL
928	0	\\192.168.10.27\Documentos_SAP\Anexos	HV-UC270GD(1)	jpg	Y	HV-UC270GD
928	1	\\192.168.10.27\Documentos_SAP\Anexos	HV-UC270GD(2)	jpg	Y	HV-UC270GD
929	0	\\192.168.10.27\Documentos_SAP\Anexos	HV-UC270SI(1)	jpg	Y	HV-UC270SI
929	1	\\192.168.10.27\Documentos_SAP\Anexos	HV-UC270SI(3)	jpg	Y	HV-UC270SI
930	0	\\192.168.10.27\Documentos_SAP\Anexos	HV-UC270RD	jpg	Y	HV-UC270RD
930	1	\\192.168.10.27\Documentos_SAP\Anexos	HV-UC270RD(2)	jpg	Y	HV-UC270RD
931	0	\\192.168.10.27\Documentos_SAP\Anexos	LPS-1904(1)	jpg	Y	LPS-1904
931	1	\\192.168.10.27\Documentos_SAP\Anexos	LPS-1904(2)	jpg	Y	LPS-1904
