ItemCode	U_Cant_X_Empaque	U_Cant_x_carton	
ItemCode	U_Cant_X_Empaque	U_Cant_x_carton	
2SC5039F	1	1	
2SC5042 CLD	1	1	
2SC5047	1	1	
2SC5048 CLD	1	1	
2SC5071 CLD	1	1	
2SC5088	1	1	
2SC5130 CLA	1	1	
2SC5143 CLD	1	1	
2SC5148 CLD	1	1	
2SC5149	1	1	
2SC5171	1	1	
2SC5196 CLA	1	1	
2SC5197	1	1	
2SC5198 CLD	1	50	
2SC5200 CLA	1	1	
2SC5200 CLD	1	100	
2SC5207	1	1	
2SC5236 CLD	1	1	
2SC5242	1	1	
2SC5249	1	1	
2SC5250 CLD	1	1	
2SC5251	1	1	
2SC5271 CLD	1	50	
2SC5287 CLD	1	1	
2SC5296 CLD	1	100	
2SC5297 CLD	1	100	
2SC5299 CLD	1	100	
2SC5302 CLD	1	1	
2SC5339	1	1	
2SC5386 CLA	1	1	
2SC5386 CLD	1	100	
2SC5387 CLD	1	100	
2SC5411 CLA	1	1	
2SC5426 CLD	1	1	
2SC5426 SEMI-CLD	1	1	
2SC5446 CLD	1	1	
2SC5516 CLD	1	1	
2SC5622	1	1	
2SC5707 CLD	1	1	
2SC5801	1	1	
2SC5803	1	1	
2SC5855	1	1	
2SC5855 CLD	1	1	
2SC5858 CLD	1	1	
2SC5885	1	1	
2SC5885 CLD	1	1	
2SC5886 CLD	1	1	
2SC5902 CLD	1	1	
2SC5936 CLD	1	1	
2SC6022 CLD	1	1	
2SC6090 CLD	1	50	
2SC6093 CLD	1	50	
2SC6144 CLD	1	1	
2SC6144 CLD-RMV	1	1	
2SC681	1	1	
2SC783	1	1	
2SC828	1	1	
2SC828 CLD	1	1	
2SC829 CLD	1	1	
2SC9012H	1	1	
2SC9015 CLD	1	1	
2SC9018	1	1	
2SC930	1	1	
2SC945 CLA	1	1	
2SC945 CLD	1	1	
2SD1012 CLD	1	1	
2SD1020	1	1	
2SD1046 CLD	1	1	
2SD1047 CLD	1	30	
2SD1048	1	1	
2SD1061	1	1	
2SD1063	1	1	
2SD1064	1	1	
2SD1092 CLD	1	1	
2SD1092 CLD CLA	1	1	
2SD1197	1	1	
2SD1263	1	1	
2SD1264	1	1	
2SD1265	1	1	
2SD1266	1	1	
2SD1273 CLA	1	1	
2SD1274 CLA	1	1	
2SD1293	1	1	
2SD1294 CLD	1	1	
2SD1308 CLA	1	1	
2SD1348	1	1	
2SD1388 CLA	1	1	
2SD1395	1	1	
2SD1396 CLD	1	1	
2SD1398	1	1	
2SD1402 CLD	1	1	
2SD1402 CLD-RMV	1	1	
2SD1402 SEMI-CLD	1	1	
2SD1403 CLD	1	1	
2SD1406	1	1	
2SD1409	1	1	
2SD1426 CLD	1	1	
2SD1427	1	1	
2SD1428 TOSH	1	1	
2SD1431	1	1	
2SD1439	1	1	
2SD1439 CLD	1	1	
2SD1453 CLD	1	1	
2SD1457	1	1	
2SD1497 CLD	1	1	
2SD1554 CLD	1	1	
