ItemCode	InventoryWeight1	InventoryWeightUnit1	SalesUnitWeight	SalesWeightUnit	PurchaseUnitWeight	PurchaseWeightUnit
ItemCode	InventoryWeight1	InventoryWeightUnit1	SWeight1	SWght1Unit	BWeight1	BWght1Unit
2SD1557 CLD	0.02	KG	0.02	KG	0.02	KG
2SD1557 NEC	0.02	KG	0.02	KG	0.02	KG
2SD156	0.02	KG	0.02	KG	0.02	KG
2SD1577	0.02	KG	0.02	KG	0.02	KG
2SD1585 CLD	0.02	KG	0.02	KG	0.02	KG
2SD1616	0.02	KG	0.02	KG	0.02	KG
2SD1649	0.02	KG	0.02	KG	0.02	KG
2SD1650	0.02	KG	0.02	KG	0.02	KG
2SD1651	0.02	KG	0.02	KG	0.02	KG
2SD1651 CLD	0.02	KG	0.02	KG	0.02	KG
2SD1710 CLD	0.02	KG	0.02	KG	0.02	KG
2SD1711	0.02	KG	0.02	KG	0.02	KG
2SD1761PI	0.02	KG	0.02	KG	0.02	KG
2SD1778	0.02	KG	0.02	KG	0.02	KG
2SD1789	0.02	KG	0.02	KG	0.02	KG
2SD1825 CLD	0.02	KG	0.02	KG	0.02	KG
2SD1830	0.02	KG	0.02	KG	0.02	KG
2SD1843	0.02	KG	0.02	KG	0.02	KG
2SD1847	0.02	KG	0.02	KG	0.02	KG
2SD1858	0.02	KG	0.02	KG	0.02	KG
2SD1876 CLD	0.02	KG	0.02	KG	0.02	KG
2SD1877	0.02	KG	0.02	KG	0.02	KG
2SD1877 CLD	0.02	KG	0.02	KG	0.02	KG
2SD1878	0.02	KG	0.02	KG	0.02	KG
2SD1878 CLD	0.02	KG	0.02	KG	0.02	KG
2SD1879 CLD	0.02	KG	0.02	KG	0.02	KG
2SD1880 CLD	0.02	KG	0.02	KG	0.02	KG
2SD1881	0.02	KG	0.02	KG	0.02	KG
2SD1881 CLD	0.02	KG	0.02	KG	0.02	KG
2SD1886C CLD	0.02	KG	0.02	KG	0.02	KG
2SD1887	0.02	KG	0.02	KG	0.02	KG
2SD1887 CLD	0.02	KG	0.02	KG	0.02	KG
2SD1889	0.02	KG	0.02	KG	0.02	KG
2SD1910	0.02	KG	0.02	KG	0.02	KG
2SD1911	0.02	KG	0.02	KG	0.02	KG
2SD1944	0.02	KG	0.02	KG	0.02	KG
2SD1959	0.02	KG	0.02	KG	0.02	KG
2SD1994	0.02	KG	0.02	KG	0.02	KG
